Text	Label1	Label2	Label_ID1	Label_ID2
Immigration causes Overpopulation, and it causes many serious problems like lack of supplies, climate change, poverty, and crime.	Capacity and Resources	Capacity and Resources	2.0	2.0
Immigrants take resources from citizens. This can be dangerous for American families.	Capacity and Resources	Capacity and Resources	2.0	2.0
Immigration causes an uneven balance	Quality of Life	Fairness and Equality	10.0	4.0
Immigration creates a huge gap between the rich and the poor. This creates an uneven balance.	Quality of Life	Fairness and Equality	10.0	4.0
According to Roy Beck, “Studies by Harvard's Jeffrey G. Williamson have found that during those same periods of high immigration, the United States became less of a middle-class society and experienced its highest degree of economic disparity--just as is happening during the current period of high immigration.	Economic	Economic	1.0	1.0
The ideal society is a middle- class one, but immigration makes it difficult to maintain that society.	Public Sentiment	Economic	12.0	1.0
Many diseases are transferred to new regions because of the processes of immigration. The devastation of smallpox on the local tribal populations of North America is widely documented.	Health and Safety	Health and Safety	9.0	9.0
When immigrants cross the border, they bring in diseases from their countries. These diseases can be dangerous to American families.	Health and Safety	Health and Safety	9.0	9.0
Taxpayers and the government must pay for immigrant needs.	Capacity and Resources	Economic	2.0	1.0
It is unfair that U.S. citizens have no choice but to support immigrants.	Capacity and Resources	Fairness and Equality	2.0	4.0
When immigrants come from the developing world to the developed world, they may be willing to take employment opportunities for a much lower wage than a local non-immigrant.	External Regulation and Reputation	Economic	14.0	1.0
Despite the common belief that immigrants live in America for free, immigrants pay their taxes.	Economic	Economic	1.0	1.0
Immigrants and immigration are good for our country, our communities, and our economy.	Economic	Quality of Life	1.0	10.0
New arrivals to the U.S. help drive business creation, fuel innovation, fill labor shortages, and strengthen the middle class.	Economic	Capacity and Resources	1.0	2.0
Family-based immigration promotes family unity and integration, all core principles of American values.	Quality of Life	Morality	10.0	3.0
The success of our country comes, in large part, from our longstanding tradition of encouraging men and women seeking a better life to leave everything they know to begin contributing to the United States.	Cultural Identity	Cultural Identity	11.0	11.0
Severely limiting legal immigration puts this at risk.	Fairness and Equality	Legality, Constitutionality, Jurisdiction	4.0	5.0
OVER 75% OF AMERICANS OPPOSE MAKING CUTS TO OUR CURRENT LEGAL IMMIGRATION LEVELS.	Fairness and Equality	Public Sentiment	4.0	12.0
Demographic change on such a massive scale--primarily caused by the increased admission of legal immigrants--inevitably has created winners and losers among Americans	Fairness and Equality	Fairness and Equality	4.0	4.0
"Based on opinion polls, it appears that most Americans consider themselves net losers and believe that the United States has become ""a nation of too many immigrants."	Public Sentiment	Public Sentiment	12.0	12.0
They often express shock that Americans could consider violating what they claim to be the country's tradition of openness by cutting immigration.	Policy Prescription and Evaluation	Cultural Identity	6.0	11.0
It is the high level of immigration during the last three decades that has violated our immigration tradition.	Crime and Punishment	Cultural Identity	7.0	11.0
